fixture_id,team,stat_type,value
1035043,Newcastle,Passes accurate,428
1035043,Newcastle,Passes %,85%
1035043,Newcastle,expected_goals,3.41
1035043,Aston Villa,Shots on Goal,6
1035043,Aston Villa,Shots off Goal,7
1035043,Aston Villa,Total Shots,16
1035043,Aston Villa,Blocked Shots,3
1035043,Aston Villa,Shots insidebox,12
1035043,Aston Villa,Shots outsidebox,4
1035043,Aston Villa,Fouls,17
1035043,Aston Villa,Corner Kicks,5
1035043,Aston Villa,Offsides,0
1035043,Aston Villa,Ball Possession,47%
1035043,Aston Villa,Yellow Cards,4
1035043,Aston Villa,Red Cards,
1035043,Aston Villa,Goalkeeper Saves,7
1035043,Aston Villa,Total passes,447
1035043,Aston Villa,Passes accurate,382
1035043,Aston Villa,Passes %,85%
1035043,Aston Villa,expected_goals,1.77
1035044,Brentford,Shots on Goal,6
1035044,Brentford,Shots off Goal,2
1035044,Brentford,Total Shots,11
1035044,Brentford,Blocked Shots,3
1035044,Brentford,Shots insidebox,9
1035044,Brentford,Shots outsidebox,2
1035044,Brentford,Fouls,12
1035044,Brentford,Corner Kicks,3
1035044,Brentford,Offsides,1
1035044,Brentford,Ball Possession,30%
1035044,Brentford,Yellow Cards,1
1035044,Brentford,Red Cards,
1035044,Brentford,Goalkeeper Saves,4
1035044,Brentford,Total passes,306
1035044,Brentford,Passes accurate,235
1035044,Brentford,Passes %,77%
1035044,Brentford,expected_goals,2.22
1035044,Tottenham,Shots on Goal,6
1035044,Tottenham,Shots off Goal,6
1035044,Tottenham,Total Shots,18
1035044,Tottenham,Blocked Shots,6
1035044,Tottenham,Shots insidebox,12
1035044,Tottenham,Shots outsidebox,6
1035044,Tottenham,Fouls,13
1035044,Tottenham,Corner Kicks,6
1035044,Tottenham,Offsides,0
1035044,Tottenham,Ball Possession,70%
1035044,Tottenham,Yellow Cards,4
1035044,Tottenham,Red Cards,
1035044,Tottenham,Goalkeeper Saves,4
1035044,Tottenham,Total passes,711
1035044,Tottenham,Passes accurate,638
1035044,Tottenham,Passes %,90%
1035044,Tottenham,expected_goals,1.27
1035045,Chelsea,Shots on Goal,4
1035045,Chelsea,Shots off Goal,4
1035045,Chelsea,Total Shots,10
1035045,Chelsea,Blocked Shots,2
1035045,Chelsea,Shots insidebox,9
1035045,Chelsea,Shots outsidebox,1
1035045,Chelsea,Fouls,5
1035045,Chelsea,Corner Kicks,4
1035045,Chelsea,Offsides,3
1035045,Chelsea,Ball Possession,65%
1035045,Chelsea,Yellow Cards,3
1035045,Chelsea,Red Cards,
1035045,Chelsea,Goalkeeper Saves,0
1035045,Chelsea,Total passes,698
1035045,Chelsea,Passes accurate,610
1035045,Chelsea,Passes %,87%
1035045,Chelsea,expected_goals,1.35
1035045,Liverpool,Shots on Goal,1
1035045,Liverpool,Shots off Goal,7
1035045,Liverpool,Total Shots,13
1035045,Liverpool,Blocked Shots,5
1035045,Liverpool,Shots insidebox,8
1035045,Liverpool,Shots outsidebox,5
1035045,Liverpool,Fouls,13
1035045,Liverpool,Corner Kicks,4
1035045,Liverpool,Offsides,5
1035045,Liverpool,Ball Possession,35%
1035045,Liverpool,Yellow Cards,3
1035045,Liverpool,Red Cards,
1035045,Liverpool,Goalkeeper Saves,4
1035045,Liverpool,Total passes,377
1035045,Liverpool,Passes accurate,301
1035045,Liverpool,Passes %,80%
1035045,Liverpool,expected_goals,1.28
1035052,Manchester City,Shots on Goal,4
1035052,Manchester City,Shots off Goal,3
1035052,Manchester City,Total Shots,14
1035052,Manchester City,Blocked Shots,7
1035052,Manchester City,Shots insidebox,10
1035052,Manchester City,Shots outsidebox,4
1035052,Manchester City,Fouls,12
1035052,Manchester City,Corner Kicks,3
1035052,Manchester City,Offsides,1
1035052,Manchester City,Ball Possession,60%
1035052,Manchester City,Yellow Cards,1
1035052,Manchester City,Red Cards,
1035052,Manchester City,Goalkeeper Saves,1
1035052,Manchester City,Total passes,679
1035052,Manchester City,Passes accurate,608
1035052,Manchester City,Passes %,90%
1035052,Manchester City,expected_goals,1.08
1035052,Newcastle,Shots on Goal,1
1035052,Newcastle,Shots off Goal,2
1035052,Newcastle,Total Shots,7
1035052,Newcastle,Blocked Shots,4
1035052,Newcastle,Shots insidebox,4
1035052,Newcastle,Shots outsidebox,3
1035052,Newcastle,Fouls,11
1035052,Newcastle,Corner Kicks,0
1035052,Newcastle,Offsides,4
1035052,Newcastle,Ball Possession,40%
1035052,Newcastle,Yellow Cards,5
1035052,Newcastle,Red Cards,
1035052,Newcastle,Goalkeeper Saves,3
1035052,Newcastle,Total passes,452
1035052,Newcastle,Passes accurate,387
1035052,Newcastle,Passes %,86%
1035052,Newcastle,expected_goals,0.29
1035047,Aston Villa,Shots on Goal,7
1035047,Aston Villa,Shots off Goal,4
1035047,Aston Villa,Total Shots,13
1035047,Aston Villa,Blocked Shots,2
1035047,Aston Villa,Shots insidebox,9
1035047,Aston Villa,Shots outsidebox,4
1035047,Aston Villa,Fouls,8
1035047,Aston Villa,Corner Kicks,7
1035047,Aston Villa,Offsides,1
1035047,Aston Villa,Ball Possession,60%
1035047,Aston Villa,Yellow Cards,3
1035047,Aston Villa,Red Cards,
1035047,Aston Villa,Goalkeeper Saves,2
1035047,Aston Villa,Total passes,566
1035047,Aston Villa,Passes accurate,507
1035047,Aston Villa,Passes %,90%
1035047,Aston Villa,expected_goals,3.00
1035047,Everton,Shots on Goal,2
1035047,Everton,Shots off Goal,3
1035047,Everton,Total Shots,9
1035047,Everton,Blocked Shots,4
1035047,Everton,Shots insidebox,6
1035047,Everton,Shots outsidebox,3
1035047,Everton,Fouls,12
1035047,Everton,Corner Kicks,6
1035047,Everton,Offsides,1
1035047,Everton,Ball Possession,40%
1035047,Everton,Yellow Cards,4
1035047,Everton,Red Cards,
1035047,Everton,Goalkeeper Saves,3
1035047,Everton,Total passes,361
1035047,Everton,Passes accurate,294
1035047,Everton,Passes %,81%
1035047,Everton,expected_goals,0.63
1035055,West Ham,Shots on Goal,6
1035055,West Ham,Shots off Goal,3
1035055,West Ham,Total Shots,12
1035055,West Ham,Blocked Shots,3
1035055,West Ham,Shots insidebox,7
1035055,West Ham,Shots outsidebox,5
1035055,West Ham,Fouls,12
1035055,West Ham,Corner Kicks,3
1035055,West Ham,Offsides,3
1035055,West Ham,Ball Possession,24%
1035055,West Ham,Yellow Cards,4
1035055,West Ham,Red Cards,1
1035055,West Ham,Goalkeeper Saves,3
1035055,West Ham,Total passes,227
1035055,West Ham,Passes accurate,157
1035055,West Ham,Passes %,69%
1035055,West Ham,expected_goals,1.80
1035055,Chelsea,Shots on Goal,4
1035055,Chelsea,Shots off Goal,9
1035055,Chelsea,Total Shots,17
1035055,Chelsea,Blocked Shots,4
1035055,Chelsea,Shots insidebox,11
1035055,Chelsea,Shots outsidebox,6
1035055,Chelsea,Fouls,9
1035055,Chelsea,Corner Kicks,9
1035055,Chelsea,Offsides,2
1035055,Chelsea,Ball Possession,76%
1035055,Chelsea,Yellow Cards,3
1035055,Chelsea,Red Cards,0
1035055,Chelsea,Goalkeeper Saves,3
1035055,Chelsea,Total passes,716
1035055,Chelsea,Passes accurate,630
1035055,Chelsea,Passes %,88%
1035055,Chelsea,expected_goals,2.49
1035048,Crystal Palace,Shots on Goal,2
1035048,Crystal Palace,Shots off Goal,5
1035048,Crystal Palace,Total Shots,14
1035048,Crystal Palace,Blocked Shots,7
1035048,Crystal Palace,Shots insidebox,10
1035048,Crystal Palace,Shots outsidebox,4
1035048,Crystal Palace,Fouls,14
1035048,Crystal Palace,Corner Kicks,1
1035048,Crystal Palace,Offsides,0
1035048,Crystal Palace,Ball Possession,47%
1035048,Crystal Palace,Yellow Cards,2
1035048,Crystal Palace,Red Cards,0
1035048,Crystal Palace,Goalkeeper Saves,2
1035048,Crystal Palace,Total passes,428
1035048,Crystal Palace,Passes accurate,370
1035048,Crystal Palace,Passes %,86%
1035048,Crystal Palace,expected_goals,1.01
1035048,Arsenal,Shots on Goal,3
1035048,Arsenal,Shots off Goal,7
1035048,Arsenal,Total Shots,14
1035048,Arsenal,Blocked Shots,4
1035048,Arsenal,Shots insidebox,11
1035048,Arsenal,Shots outsidebox,3
1035048,Arsenal,Fouls,10
1035048,Arsenal,Corner Kicks,8
1035048,Arsenal,Offsides,2
1035048,Arsenal,Ball Possession,53%
1035048,Arsenal,Yellow Cards,3
1035048,Arsenal,Red Cards,1
1035048,Arsenal,Goalkeeper Saves,2
1035048,Arsenal,Total passes,489
1035048,Arsenal,Passes accurate,422
1035048,Arsenal,Passes %,86%
1035048,Arsenal,expected_goals,2.02
1035062,Chelsea,Shots on Goal,8
1035062,Chelsea,Shots off Goal,6
1035062,Chelsea,Total Shots,19
1035062,Chelsea,Blocked Shots,5
1035062,Chelsea,Shots insidebox,16
1035062,Chelsea,Shots outsidebox,3
1035062,Chelsea,Fouls,15
1035062,Chelsea,Corner Kicks,6
1035062,Chelsea,Offsides,
1035062,Chelsea,Ball Possession,67%
1035062,Chelsea,Yellow Cards,2
1035062,Chelsea,Red Cards,
1035062,Chelsea,Goalkeeper Saves,1
1035062,Chelsea,Total passes,653
1035062,Chelsea,Passes accurate,603
1035062,Chelsea,Passes %,92%
1035062,Chelsea,expected_goals,2.27
1035062,Luton,Shots on Goal,1
1035062,Luton,Shots off Goal,5
1035062,Luton,Total Shots,11
1035062,Luton,Blocked Shots,5
1035062,Luton,Shots insidebox,7
1035062,Luton,Shots outsidebox,4
1035062,Luton,Fouls,12
1035062,Luton,Corner Kicks,4
1035062,Luton,Offsides,
1035062,Luton,Ball Possession,33%
1035062,Luton,Yellow Cards,3
1035062,Luton,Red Cards,
1035062,Luton,Goalkeeper Saves,5
1035062,Luton,Total passes,306
1035062,Luton,Passes accurate,240
1035062,Luton,Passes %,78%
1035062,Luton,expected_goals,0.44
1035057,Bournemouth,Shots on Goal,3
1035057,Bournemouth,Shots off Goal,5
1035057,Bournemouth,Total Shots,11
1035057,Bournemouth,Blocked Shots,3
1035057,Bournemouth,Shots insidebox,6
1035057,Bournemouth,Shots outsidebox,5
1035057,Bournemouth,Fouls,18
1035057,Bournemouth,Corner Kicks,6
1035057,Bournemouth,Offsides,3
1035057,Bournemouth,Ball Possession,43%
1035057,Bournemouth,Yellow Cards,1
1035057,Bournemouth,Red Cards,
1035057,Bournemouth,Goalkeeper Saves,4
1035057,Bournemouth,Total passes,391
1035057,Bournemouth,Passes accurate,312
1035057,Bournemouth,Passes %,80%
1035057,Bournemouth,expected_goals,0.67
1035057,Tottenham,Shots on Goal,6
1035057,Tottenham,Shots off Goal,7
1035057,Tottenham,Total Shots,17
1035057,Tottenham,Blocked Shots,4
1035057,Tottenham,Shots insidebox,12
1035057,Tottenham,Shots outsidebox,5
1035057,Tottenham,Fouls,11
1035057,Tottenham,Corner Kicks,2
1035057,Tottenham,Offsides,0
1035057,Tottenham,Ball Possession,57%
1035057,Tottenham,Yellow Cards,3
1035057,Tottenham,Red Cards,
1035057,Tottenham,Goalkeeper Saves,3
1035057,Tottenham,Total passes,537
1035057,Tottenham,Passes accurate,477
1035057,Tottenham,Passes %,89%
1035057,Tottenham,expected_goals,2.06
1035064,Manchester United,Shots on Goal,9
1035064,Manchester United,Shots off Goal,5
1035064,Manchester United,Total Shots,18
1035064,Manchester United,Blocked Shots,4
1035064,Manchester United,Shots insidebox,7
1035064,Manchester United,Shots outsidebox,11
1035064,Manchester United,Fouls,13
1035064,Manchester United,Corner Kicks,11
1035064,Manchester United,Offsides,3
1035064,Manchester United,Ball Possession,66%
1035064,Manchester United,Yellow Cards,4
1035064,Manchester United,Red Cards,0
1035064,Manchester United,Goalkeeper Saves,2
1035064,Manchester United,Total passes,637
1035064,Manchester United,Passes accurate,548
1035064,Manchester United,Passes %,86%
1035064,Manchester United,expected_goals,2.83
1035064,Nottingham Forest,Shots on Goal,4
1035064,Nottingham Forest,Shots off Goal,3
1035064,Nottingham Forest,Total Shots,9
1035064,Nottingham Forest,Blocked Shots,2
1035064,Nottingham Forest,Shots insidebox,7
1035064,Nottingham Forest,Shots outsidebox,2
1035064,Nottingham Forest,Fouls,11
1035064,Nottingham Forest,Corner Kicks,3
1035064,Nottingham Forest,Offsides,2
1035064,Nottingham Forest,Ball Possession,34%
1035064,Nottingham Forest,Yellow Cards,4
1035064,Nottingham Forest,Red Cards,1
1035064,Nottingham Forest,Goalkeeper Saves,7
1035064,Nottingham Forest,Total passes,316
1035064,Nottingham Forest,Passes accurate,228
1035064,Nottingham Forest,Passes %,72%
1035064,Nottingham Forest,expected_goals,1.21
1035058,Arsenal,Shots on Goal,11
1035058,Arsenal,Shots off Goal,5
1035058,Arsenal,Total Shots,19
1035058,Arsenal,Blocked Shots,3
1035058,Arsenal,Shots insidebox,16
1035058,Arsenal,Shots outsidebox,3
1035058,Arsenal,Fouls,6
1035058,Arsenal,Corner Kicks,8
1035058,Arsenal,Offsides,4
1035058,Arsenal,Ball Possession,71%
1035058,Arsenal,Yellow Cards,0
1035058,Arsenal,Red Cards,0
1035058,Arsenal,Goalkeeper Saves,1
1035058,Arsenal,Total passes,680
1035058,Arsenal,Passes accurate,614
1035058,Arsenal,Passes %,90%
1035058,Arsenal,expected_goals,3.20
1035058,Fulham,Shots on Goal,3
1035058,Fulham,Shots off Goal,3
1035058,Fulham,Total Shots,8
1035058,Fulham,Blocked Shots,2
1035058,Fulham,Shots insidebox,6
1035058,Fulham,Shots outsidebox,2
1035058,Fulham,Fouls,5
1035058,Fulham,Corner Kicks,3
1035058,Fulham,Offsides,1
1035058,Fulham,Ball Possession,29%
1035058,Fulham,Yellow Cards,6
1035058,Fulham,Red Cards,1
1035058,Fulham,Goalkeeper Saves,8
1035058,Fulham,Total passes,274
1035058,Fulham,Passes accurate,196
1035058,Fulham,Passes %,72%
1035058,Fulham,expected_goals,0.56
1035063,Everton,Shots on Goal,7
1035063,Everton,Shots off Goal,6
1035063,Everton,Total Shots,15
1035063,Everton,Blocked Shots,2
1035063,Everton,Shots insidebox,11
1035063,Everton,Shots outsidebox,4
1035063,Everton,Fouls,10
1035063,Everton,Corner Kicks,7
1035063,Everton,Offsides,1
1035063,Everton,Ball Possession,47%
1035063,Everton,Yellow Cards,3
1035063,Everton,Red Cards,
1035063,Everton,Goalkeeper Saves,2
1035063,Everton,Total passes,406
1035063,Everton,Passes accurate,333
1035063,Everton,Passes %,82%
1035063,Everton,expected_goals,1.34
1035063,Wolves,Shots on Goal,2
1035063,Wolves,Shots off Goal,5
1035063,Wolves,Total Shots,11
1035063,Wolves,Blocked Shots,4
1035063,Wolves,Shots insidebox,7
1035063,Wolves,Shots outsidebox,4
1035063,Wolves,Fouls,14
1035063,Wolves,Corner Kicks,0
1035063,Wolves,Offsides,1
1035063,Wolves,Ball Possession,53%
1035063,Wolves,Yellow Cards,4
1035063,Wolves,Red Cards,
1035063,Wolves,Goalkeeper Saves,7
1035063,Wolves,Total passes,472
1035063,Wolves,Passes accurate,396
1035063,Wolves,Passes %,84%
1035063,Wolves,expected_goals,1.08
1035059,Brentford,Shots on Goal,1
1035059,Brentford,Shots off Goal,4
1035059,Brentford,Total Shots,12
1035059,Brentford,Blocked Shots,7
1035059,Brentford,Shots insidebox,10
1035059,Brentford,Shots outsidebox,2
1035059,Brentford,Fouls,9
1035059,Brentford,Corner Kicks,8
1035059,Brentford,Offsides,2
1035059,Brentford,Ball Possession,60%
1035059,Brentford,Yellow Cards,
1035059,Brentford,Red Cards,
